Study_Type,Filename,Memory,True_n,HLL_Est,REC_Est,KMV_Est,HLL_Err,REC_Err,KMV_Err,Theory,Alpha_Skew
Part1_RealData,dracula.txt,64,9425,9628.692618840432,13463.709603772528,11319.665443262496,2.161194894858698,42.85103027875361,20.102551122148505,13.0,N/A
Part1_RealData,dracula.txt,256,9425,9040.43282622175,9916.956235107087,9535.586645232703,4.080288315949606,5.219694802197212,1.1733331059172702,6.5,N/A
Part1_RealData,dracula.txt,1024,9425,9634.674479746307,9818.121324574782,9622.887441934916,2.224662915080181,4.171048536602464,2.099601505940752,3.25,N/A
Part1_RealData,dracula.txt,4096,9425,9241.842678953277,9438.187607067379,9487.47213083653,1.9433137511588663,0.13992156039659256,0.6628342794326757,1.625,N/A
Part1_RealData,iliad.txt,64,8925,9732.089297606872,11177.83122705683,10678.058823752262,9.043017340133016,25.24180646562274,19.64211567229426,13.0,N/A
Part1_RealData,iliad.txt,256,8925,9110.488865322102,9994.591604195983,8326.529498695887,2.078306614253248,11.984219654856949,6.705551835340201,6.5,N/A
Part1_RealData,iliad.txt,1024,8925,9029.317569912917,9214.492654840386,8754.795641811157,1.1688243127497697,3.2436151802844315,1.9070516323679878,3.25,N/A
Part1_RealData,iliad.txt,4096,8925,8867.977101374421,8997.196745818399,8816.333668106789,0.63891202941825,0.808927124015675,1.21754993717884,1.625,N/A
Part1_RealData,mare-balena.txt,64,5670,4902.141415207088,6297.849634482144,4317.00464437517,13.542479449610434,11.073185793335877,23.862351951055206,13.0,N/A
Part1_RealData,mare-balena.txt,256,5670,6197.032713565748,6091.246051064491,5652.996745570968,9.295109586697496,7.429383616657698,0.2998810304943842,6.5,N/A
Part1_RealData,mare-balena.txt,1024,5670,5974.893316559197,5823.805711398161,5713.116166234165,5.377307170356209,2.712622775981681,0.7604262122427631,3.25,N/A
Part1_RealData,mare-balena.txt,4096,5670,5710.387358027435,5656.428795324808,5669.952937762899,0.7122990833762761,0.2393510524725282,0.0008300218183645915,1.625,N/A
Part1_RealData,midsummer-nights-dream.txt,64,3136,3814.9602771007058,2561.860967570425,3367.8767788327473,21.650519040201075,18.308004860636952,7.394029937268727,13.0,N/A
Part1_RealData,midsummer-nights-dream.txt,256,3136,3041.7402521178196,2983.898155080624,3452.1535245172768,3.005731756447078,4.850186381357658,10.081426164453978,6.5,N/A
Part1_RealData,midsummer-nights-dream.txt,1024,3136,3116.6406294345256,3027.7440925298424,3104.887185395601,0.6173268675215039,3.452037865757576,0.9921178126402699,3.25,N/A
Part1_RealData,midsummer-nights-dream.txt,4096,3136,3181.009762644113,3136.0,3136.0,1.435260288396458,0.0,0.0,1.625,N/A
Part1_RealData,quijote.txt,64,23034,19400.192482760376,19232.78656768836,23581.776498206113,15.775842308064703,16.50261974607815,2.3781214648177156,13.0,N/A
Part1_RealData,quijote.txt,256,23034,22030.216431983245,27329.229122423236,22593.903663077865,4.357834366661264,18.647343589577304,1.9106379131811033,6.5,N/A
Part1_RealData,quijote.txt,1024,23034,21365.959524505644,23088.615075451,22377.69407305889,7.241644853235893,0.23710634475558634,2.849292033260005,3.25,N/A
Part1_RealData,quijote.txt,4096,23034,22624.730205090313,23114.711644103256,22842.283264131016,1.7768073061981737,0.35040220588371895,0.8323206384865154,1.625,N/A
Part1_RealData,valley-fear.txt,64,5829,6846.069723165468,6200.944255490111,6483.064252870781,17.44844266881914,6.380927354436622,11.220865549335757,13.0,N/A
Part1_RealData,valley-fear.txt,256,5829,5795.480209842326,6259.795829447225,5539.56880932027,0.5750521557329547,7.39056149334748,4.965366112193004,6.5,N/A
Part1_RealData,valley-fear.txt,1024,5829,5905.152016265475,5944.43352473352,5913.755455752949,1.306433629532941,1.980331527423576,1.454030807221638,3.25,N/A
Part1_RealData,valley-fear.txt,4096,5829,5718.4582965994105,5837.417647214744,5853.763562492911,1.8964093909862676,0.14440979953240243,0.42483380499074885,1.625,N/A
Part1_RealData,war-peace.txt,64,17475,17228.273585950934,14325.183907439827,19048.060638389612,1.4118821977056712,18.024698669872237,9.001777615963444,13.0,N/A
Part1_RealData,war-peace.txt,256,17475,18180.17359872183,14645.639404285606,17792.219028388066,4.035328175804468,16.19090469650583,1.8152734099460162,6.5,N/A
Part1_RealData,war-peace.txt,1024,17475,18520.62719623332,18230.851504383903,17609.725364791415,5.983560493466777,4.325330497189719,0.7709605996647491,3.25,N/A
Part1_RealData,war-peace.txt,4096,17475,17702.020782319545,17593.680972631562,17849.299725736426,1.299117495390816,0.6791471967471377,2.141915454857945,1.625,N/A
Part2_Synthetic,Zipf_Stream,1024,5000,4875.56104721831,5035.386368993871,0,2.4887790556338043,0.707727379877415,0,3.25,0.0
Part2_Synthetic,Zipf_Stream,1024,5000,4875.56104721831,5179.985700614034,0,2.4887790556338043,3.599714012280674,0,3.25,0.5
Part2_Synthetic,Zipf_Stream,1024,4594,4532.836590255004,4417.9111264332,0,1.3313759195689157,3.8330185800348375,0,3.25,1.1
Part2_Synthetic,Zipf_Stream,1024,433,435.90425136253407,433.0,0,0.670727797351979,0.0,0,3.25,2.0
